|municipio               |estado|area_km2 |desmatado_2022|incremento_2021_2022|floresta_2022|
|------------------------|------|---------|--------------|--------------------|-------------|
|Tefé                    |AM    |18.475,6 |5.065,94      |156,51              |13.409,66    |
|Parintins               |AM    |48.491,08|2.513,69      |112,34              |45.977,39    |
|Presidente Figueiredo   |AM    |11.869,11|6.112,37      |51,57               |5.756,74     |
|Tefé                    |AM    |43.390,11|23.655,83     |187,07              |19.734,28    |
|Benjamin Constant       |AM    |13.547,33|1.256,13      |158,31              |12.291,2     |
|Borba                   |AM    |31.910,27|18.788,54     |68,27               |13.121,73    |
|Manicoré                |AM    |4.632,38 |525,98        |112,47              |4.106,4      |
|Eirunepé                |AM    |49.325,69|21.093,18     |39,09               |28.232,51    |
|Autazes                 |AM    |49.611,96|27.567,35     |170,12              |22.044,61    |
|Manicoré                |AM    |44.539,67|25.199,72     |39,1                |19.339,95    |
|Presidente Figueiredo   |AM    |53.325,09|14.708,17     |146,82              |38.616,92    |
|Manacapuru              |AM    |16.547,71|1.374,16      |58,02               |15.173,55    |
|Autazes                 |AM    |48.238,57|19.754,52     |48,89               |28.484,05    |
|Boca do Acre            |AM    |53.796,6 |31.991,13     |161,88              |21.805,47    |
|Tefé                    |AM    |18.374,67|3.824,74      |90,84               |14.549,93    |
|Manaus                  |AM    |18.825,85|7.071,3       |187,13              |11.754,55    |
|Eirunepé                |AM    |31.721,45|18.281,28     |47,98               |13.440,17    |
|Borba                   |AM    |2.446,04 |1.197,84      |170,75              |1.248,2      |
|Benjamin Constant       |AM    |9.788,06 |4.484,2       |140,95              |5.303,86     |
|Lábrea                  |AM    |43.621,31|18.737,51     |58,62               |24.883,8     |
|São Gabriel da Cachoeira|AM    |42.373,14|9.776,68      |199,2               |32.596,46    |
|Iranduba                |AM    |20.019,85|8.552,12      |89,12               |11.467,73    |
|Benjamin Constant       |AM    |5.504,39 |2.040,58      |197,18              |3.463,81     |
|Eirunepé                |AM    |24.266,31|720,99        |143,72              |23.545,32    |
|Autazes                 |AM    |20.103,3 |5.136,1       |35,13               |14.967,2     |
|Borba                   |AM    |31.668,46|2.686,98      |173,8               |28.981,48    |
|Parintins               |AM    |53.310,46|12.576,25     |98,72               |40.734,21    |
|Autazes                 |AM    |44.523,34|23.935,05     |52,57               |20.588,29    |
|Benjamin Constant       |AM    |10.778,27|2.901,71      |121,81              |7.876,56     |
|Autazes                 |AM    |11.519,21|5.908,52      |13,37               |5.610,69     |
|Parintins               |AM    |41.970,91|5.060,95      |127,28              |36.909,96    |
|Maués                   |AM    |21.416,81|12.733,32     |179,75              |8.683,49     |
|Lábrea                  |AM    |1.074,34 |556,98        |60,6                |517,36       |
|Benjamin Constant       |AM    |2.929,06 |1.192,46      |45,95               |1.736,6      |
|Borba                   |AM    |50.442,41|14.347,17     |115,19              |36.095,24    |
|Autazes                 |AM    |28.302,72|2.227,11      |163,95              |26.075,61    |
|Novo Aripuanã           |AM    |13.947,69|7.167,93      |79,73               |6.779,76     |
|Manaus                  |AM    |38.668,6 |4.137,07      |89,14               |34.531,53    |
|Borba                   |AM    |45.141,78|11.099,13     |148,78              |34.042,65    |
|Tabatinga               |AM    |55.172,55|28.046,23     |39,74               |27.126,32    |
|Tefé                    |AM    |11.345,6 |5.990,36      |100,41              |5.355,24     |
|Iranduba                |AM    |44.405,11|6.233,06      |189,31              |38.172,05    |
|Novo Aripuanã           |AM    |25.427,5 |3.214,69      |73,42               |22.212,81    |
|Manicoré                |AM    |40.140,2 |21.693,06     |94,74               |18.447,14    |
|Tefé                    |AM    |47.743,34|10.938,08     |131,32              |36.805,26    |
|Tefé                    |AM    |40.732,25|23.845,41     |186,92              |16.886,84    |
|São Gabriel da Cachoeira|AM    |46.364,13|14.158,78     |185,45              |32.205,35    |
|Benjamin Constant       |AM    |38.415,65|9.014,24      |179,7               |29.401,41    |
|Humaitá                 |AM    |34.916,07|10.058,12     |92,73               |24.857,95    |
|Tefé                    |AM    |31.219,31|9.746,47      |144,95              |21.472,84    |
|Itacoatiara             |AM    |18.890,56|5.476,17      |146,16              |13.414,39    |
|Lábrea                  |AM    |52.990,79|14.766,56     |102,82              |38.224,23    |
|Lábrea                  |AM    |16.724,49|6.787,49      |125,53              |9.937        |
|Tabatinga               |AM    |19.043,78|5.105,89      |34,17               |13.937,89    |
|Manacapuru              |AM    |29.838,42|2.121,1       |186,7               |27.717,32    |
|Presidente Figueiredo   |AM    |45.966,67|22.891,19     |83,33               |23.075,48    |
|Itacoatiara             |AM    |42.513,77|18.426,77     |145,17              |24.087       |
|Coari                   |AM    |57.240,15|21.377,79     |113,56              |35.862,36    |
|Boca do Acre            |AM    |55.924,7 |10.001,01     |132,28              |45.923,69    |
|Iranduba                |AM    |40.739,23|21.817,87     |64,13               |18.921,36    |
|Borba                   |AM    |55.603,11|8.013,49      |158,78              |47.589,62    |
|Benjamin Constant       |AM    |31.567,11|18.334,75     |53,53               |13.232,36    |
|São Gabriel da Cachoeira|AM    |29.093,69|10.965,03     |134,33              |18.128,66    |
|Presidente Figueiredo   |AM    |26.216,69|13.114,05     |162,09              |13.102,64    |
|Parintins               |AM    |9.547,78 |2.982,38      |45,63               |6.565,4      |
|Borba                   |AM    |40.293,94|8.929,38      |33,46               |31.364,56    |
|Itacoatiara             |AM    |58.996,51|33.193,92     |19,68               |25.802,59    |
|São Gabriel da Cachoeira|AM    |21.820,12|5.420,99      |176,32              |16.399,13    |
|Novo Aripuanã           |AM    |29.527,54|8.248,77      |115,38              |21.278,77    |
|Manaus                  |AM    |14.470,06|2.241,92      |150,38              |12.228,14    |
|Novo Aripuanã           |AM    |6.217,68 |593,64        |65,98               |5.624,04     |
|Tefé                    |AM    |52.755,46|7.166,85      |170,95              |45.588,61    |
|Humaitá                 |AM    |37.619,87|3.641,72      |93,43               |33.978,15    |
|Humaitá                 |AM    |43.129,95|5.924,03      |121,12              |37.205,92    |
|Tefé                    |AM    |7.050,07 |2.620,06      |139,83              |4.430,01     |
|Coari                   |AM    |59.580,58|15.646,24     |17,53               |43.934,34    |
|Itacoatiara             |AM    |9.833,97 |1.932,07      |48,37               |7.901,9      |
|Lábrea                  |AM    |3.796,63 |981,1         |142,75              |2.815,53     |
|Itacoatiara             |AM    |33.210,31|4.037,94      |51,61               |29.172,37    |
|Humaitá                 |AM    |37.311,72|8.094,97      |14,06               |29.216,75    |
|São Gabriel da Cachoeira|AM    |31.013,87|2.378,81      |127,78              |28.635,06    |
|Manicoré                |AM    |29.063,75|13.885,63     |152,18              |15.178,12    |
|Boca do Acre            |AM    |10.650,27|3.770,36      |135,5               |6.879,91     |
|Maués                   |AM    |18.846,22|8.792,15      |143,95              |10.054,07    |
|Tabatinga               |AM    |19.277,06|10.246,77     |194,73              |9.030,29     |
|Coari                   |AM    |21.876,31|10.230,93     |124,36              |11.645,38    |
|Iranduba                |AM    |50.913,04|22.368,5      |21,47               |28.544,54    |
|Autazes                 |AM    |22.932,75|9.786,54      |95,54               |13.146,21    |
|Boca do Acre            |AM    |5.843,57 |2.768,98      |38,23               |3.074,59     |
|Iranduba                |AM    |12.055,71|5.222,64      |126,27              |6.833,07     |
|Parintins               |AM    |40.400,66|14.752,74     |117,26              |25.647,92    |
|São Gabriel da Cachoeira|AM    |35.637,23|8.939,55      |21,18               |26.697,68    |
|Parintins               |AM    |46.219,75|14.628,39     |10,89               |31.591,36    |
|Manacapuru              |AM    |24.936,73|8.049,76      |39,75               |16.886,97    |
|Eirunepé                |AM    |15.079,28|4.785,54      |189,98              |10.293,74    |
|Lábrea                  |AM    |25.851,75|879,27        |113,32              |24.972,48    |
|Manacapuru              |AM    |16.044,25|1.629,58      |191,01              |14.414,67    |
|Boca do Acre            |AM    |42.217,74|17.191,62     |183,26              |25.026,12    |
|Novo Aripuanã           |AM    |45.961,96|20.448,94     |145,6               |25.513,02    |
|Tefé                    |AM    |37.426,45|4.502,68      |178,59              |32.923,77    |
|Coari                   |AM    |50.128,47|28.246,79     |17,84               |21.881,68    |
|Tefé                    |AM    |51.645,84|22.571,55     |80,68               |29.074,29    |
|Boca do Acre            |AM    |25.267,21|4.689,22      |90,93               |20.577,99    |
|Presidente Figueiredo   |AM    |40.652,3 |505,42        |163,61              |40.146,88    |
|São Gabriel da Cachoeira|AM    |24.814,34|13.532,34     |145,6               |11.282       |
|Eirunepé                |AM    |49.970,84|18.423,77     |19,68               |31.547,07    |
|Novo Aripuanã           |AM    |55.521,94|30.522,24     |74                  |24.999,7     |
|Novo Aripuanã           |AM    |34.015,25|833,02        |177,91              |33.182,23    |
|Manaus                  |AM    |21.666,33|3.550,95      |166,36              |18.115,38    |
|Maués                   |AM    |51.241,25|23.702,77     |186,56              |27.538,48    |
|Coari                   |AM    |21.565,71|6.971,27      |134,8               |14.594,44    |
|Autazes                 |AM    |6.593,65 |3.955,19      |90,51               |2.638,46     |
|Itacoatiara             |AM    |41.051,42|17.860,98     |110,94              |23.190,44    |
|Eirunepé                |AM    |12.022   |5.211,13      |154,1               |6.810,87     |
|Coari                   |AM    |26.918,65|9.423,64      |64,42               |17.495,01    |
|Tabatinga               |AM    |42.702,3 |835,57        |107,17              |41.866,73    |
|Manacapuru              |AM    |7.801,46 |3.316,77      |58,83               |4.484,69     |
|Iranduba                |AM    |33.036,07|1.772,93      |66,64               |31.263,14    |
|Humaitá                 |AM    |12.158,87|1.326,95      |133,66              |10.831,92    |
|Lábrea                  |AM    |33.791,13|16.135,66     |43,96               |17.655,47    |
|Coari                   |AM    |28.890,09|1.086,56      |150                 |27.803,53    |
|Manacapuru              |AM    |44.582,95|5.628,58      |61,17               |38.954,37    |
|Presidente Figueiredo   |AM    |14.702,13|8.054,42      |65,6                |6.647,71     |
|Parintins               |AM    |31.740,11|3.401,45      |50,01               |28.338,66    |
|Maués                   |AM    |37.824,08|4.869,21      |70,49               |32.954,87    |
|Borba                   |AM    |59.448,25|21.829,26     |28,14               |37.618,99    |
|Novo Aripuanã           |AM    |12.419,56|1.108,85      |143,83              |11.310,71    |
|Parintins               |AM    |42.565,79|11.187,71     |179,27              |31.378,08    |
|Manicoré                |AM    |36.722,88|14.685,76     |112,4               |22.037,12    |
|Itacoatiara             |AM    |34.559,87|19.685,4      |121,54              |14.874,47    |
|Parintins               |AM    |17.455,88|9.611,02      |113,04              |7.844,86     |
|Iranduba                |AM    |35.164,23|18.531,18     |63,35               |16.633,05    |
|Tabatinga               |AM    |53.342,24|5.371,96      |175,32              |47.970,28    |
|Novo Aripuanã           |AM    |23.316,56|6.018,52      |163,25              |17.298,04    |
|Eirunepé                |AM    |34.773,46|20.292,82     |12,62               |14.480,64    |
|Novo Aripuanã           |AM    |25.018,55|1.847,63      |58,55               |23.170,92    |
|Borba                   |AM    |13.555,79|7.625,69      |44,27               |5.930,1      |
|Eirunepé                |AM    |32.326,11|7.720,27      |131,45              |24.605,84    |
|Maués                   |AM    |36.393,8 |14.765,97     |150                 |21.627,83    |
|Tabatinga               |AM    |1.955,29 |514,84        |78,15               |1.440,45     |
|Eirunepé                |AM    |45.421,38|20.889,28     |193,59              |24.532,1     |
|Humaitá                 |AM    |5.008,27 |1.996,17      |98                  |3.012,1      |
|Eirunepé                |AM    |54.118,78|4.773,1       |92,53               |49.345,68    |
|Novo Aripuanã           |AM    |3.263,31 |1.438,97      |31,79               |1.824,34     |
|Lábrea                  |AM    |22.893,18|2.629,12      |54,9                |20.264,06    |
|Lábrea                  |AM    |5.966,89 |2.477,27      |71,74               |3.489,62     |
|Coari                   |AM    |53.123,92|8.843,45      |133,5               |44.280,47    |
|Iranduba                |AM    |53.515,26|27.228,78     |20,19               |26.286,48    |
|Parintins               |AM    |45.607,84|899,21        |180,49              |44.708,63    |
|Humaitá                 |AM    |21.555,08|8.619,34      |30,13               |12.935,74    |
|Manaus                  |AM    |57.316,78|27.487,25     |138,04              |29.829,53    |
|Coari                   |AM    |45.872,32|11.579,78     |25,76               |34.292,54    |
|Autazes                 |AM    |57.026,57|655,26        |133,78              |56.371,31    |
|Benjamin Constant       |AM    |27.038,76|9.408,27      |93,17               |17.630,49    |
|Lábrea                  |AM    |50.771,12|14.661,98     |76,38               |36.109,14    |
|Boca do Acre            |AM    |42.744,29|5.670,74      |173,37              |37.073,55    |
|Tefé                    |AM    |57.682,9 |23.870,3      |17,97               |33.812,6     |
|Borba                   |AM    |21.351,5 |8.780,29      |107,65              |12.571,21    |
|Manicoré                |AM    |50.956,58|13.042,82     |51,29               |37.913,76    |
|Novo Aripuanã           |AM    |50.103,03|20.551,75     |15,2                |29.551,28    |
|Boca do Acre            |AM    |49.319,57|24.719,18     |179,91              |24.600,39    |
|Borba                   |AM    |9.936,73 |3.362,59      |120,38              |6.574,14     |
|Benjamin Constant       |AM    |46.186,2 |6.351,02      |52,08               |39.835,18    |
|Manaus                  |AM    |8.645,03 |2.415,56      |51,14               |6.229,47     |
|Parintins               |AM    |23.272,11|958,16        |49,52               |22.313,95    |
|Manaus                  |AM    |54.958,9 |32.708,62     |87,25               |22.250,28    |
|Manaus                  |AM    |54.881,85|25.324,59     |176,3               |29.557,26    |
|Humaitá                 |AM    |28.670,82|14.652,53     |171,55              |14.018,29    |
|Manacapuru              |AM    |40.317,18|18.771,58     |21,78               |21.545,6     |
|Tefé                    |AM    |9.146,44 |4.842,25      |152,02              |4.304,19     |
|Eirunepé                |AM    |49.075,99|611,91        |52,55               |48.464,08    |
|Iranduba                |AM    |34.978,38|2.137,87      |58,78               |32.840,51    |
|Autazes                 |AM    |36.829,92|18.984,19     |69,74               |17.845,73    |
|Humaitá                 |AM    |43.448,8 |11.907,06     |125,02              |31.541,74    |
|Autazes                 |AM    |12.833,09|6.239,57      |134,95              |6.593,52     |
|Borba                   |AM    |26.796,32|4.351,16      |127,71              |22.445,16    |
|Maués                   |AM    |11.954,33|5.092,61      |93,77               |6.861,72     |
|Boca do Acre            |AM    |32.444,33|1.183,9       |77,08               |31.260,43    |
|Borba                   |AM    |41.737,38|7.464,85      |160,52              |34.272,53    |
|Boca do Acre            |AM    |36.626,13|10.947,5      |96,64               |25.678,63    |
|Tabatinga               |AM    |26.734,38|10.255,15     |140,51              |16.479,23    |
|Coari                   |AM    |4.043,76 |831,9         |185,9               |3.211,86     |
|Manaus                  |AM    |46.638,97|27.347,6      |116,46              |19.291,37    |
|Iranduba                |AM    |8.388,94 |3.052,2       |153,21              |5.336,74     |
|Tefé                    |AM    |8.547,64 |2.329,13      |117,68              |6.218,51     |
|Manicoré                |AM    |30.026,07|3.580,52      |129,76              |26.445,55    |
|São Gabriel da Cachoeira|AM    |20.843,13|9.494,44      |102,38              |11.348,69    |
|Benjamin Constant       |AM    |58.385,99|12.676,45     |47,85               |45.709,54    |
|Manacapuru              |AM    |57.007,11|28.418,15     |19,36               |28.588,96    |
|Novo Aripuanã           |AM    |28.189,31|14.377,91     |99,81               |13.811,4     |
|Borba                   |AM    |7.966,36 |1.584,12      |150,87              |6.382,24     |
|Borba                   |AM    |45.382,88|24.302,21     |48,19               |21.080,67    |
|Manacapuru              |AM    |11.010,71|5.383,81      |22,59               |5.626,9      |
|Benjamin Constant       |AM    |56.561,67|21.761,01     |184,19              |34.800,66    |
|Coari                   |AM    |46.900,51|24.337,53     |83,58               |22.562,98    |
|Benjamin Constant       |AM    |30.476,36|9.050,34      |134,95              |21.426,02    |
|Manaus                  |AM    |39.647   |13.579,18     |11,17               |26.067,82    |
